                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3904,                 1.1618,                 1.3628,                0.78382,                0.79763,                0.79671,                0.46089,                  1.404,                0.88448,                 1.3904,             0.00055338,             0.00055338,             0.00055338
                      2,                 1.3718,                 0.8475,                 1.3489,                0.81868,                0.87331,                0.87945,                0.53285,                 1.3343,                0.81212,                  1.367,              0.0010651,              0.0010651,              0.0010651
                      3,                  1.348,                0.82033,                 1.3434,                0.85175,                0.86799,                0.90761,                0.58944,                 1.2731,                0.78059,                 1.3244,              0.0015329,              0.0015329,              0.0015329
                      4,                  1.317,                0.78045,                  1.315,                0.84808,                0.87867,                 0.9123,                0.60083,                  1.249,                 0.6751,                 1.3152,               0.001469,               0.001469,               0.001469
                      5,                  1.304,                0.75404,                 1.3164,                 0.8571,                0.88636,                0.91458,                0.57915,                 1.3126,                0.65753,                 1.3389,               0.001469,               0.001469,               0.001469
                      6,                 1.2826,                0.73644,                 1.2965,                0.86585,                0.87832,                0.92302,                0.61402,                 1.2498,                0.64629,                 1.3051,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.2487,                 0.7036,                 1.2763,                0.86784,                0.87322,                0.91825,                0.60673,                 1.2236,                0.64046,                  1.287,              0.0013369,              0.0013369,              0.0013369
                      8,                  1.243,                0.69255,                 1.2688,                0.85276,                0.89751,                0.92464,                 0.6321,                 1.2194,                0.59552,                 1.2749,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.2295,                0.67361,                 1.2624,                0.86759,                0.90538,                0.93483,                0.62836,                 1.2141,                0.60026,                 1.2789,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.2115,                0.65464,                 1.2606,                0.88465,                0.86912,                0.92498,                0.62772,                 1.2211,                0.59532,                 1.2889,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.2067,                0.65314,                 1.2529,                0.82449,                0.88386,                0.92182,                0.62689,                 1.2096,                0.61849,                 1.2709,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.1923,                 0.6348,                 1.2438,                0.85732,                0.90733,                0.91997,                 0.6305,                 1.2066,                0.57742,                 1.2779,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.1761,                 0.6205,                 1.2347,                0.88866,                0.86929,                0.93182,                0.62819,                 1.2092,                 0.5795,                 1.2747,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.1646,                0.61336,                 1.2262,                0.89833,                0.88857,                0.93731,                0.64078,                 1.2023,                0.56616,                 1.2729,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.1567,                0.60201,                  1.223,                0.86973,                0.88224,                0.92789,                0.63649,                 1.2025,                0.56517,                 1.2712,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.1443,                0.54113,                 1.2769,                0.87624,                0.89482,                0.93672,                0.64121,                 1.2083,                 0.5541,                 1.2772,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.1328,                0.53653,                  1.278,                0.87974,                0.89051,                0.93556,                0.64071,                 1.2058,                0.55859,                 1.2769,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.1144,                0.51509,                 1.2671,                0.86372,                0.89941,                0.93547,                0.64855,                  1.201,                0.55864,                 1.2693,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.1023,                0.50947,                 1.2513,                0.88578,                0.89969,                0.93706,                0.64172,                 1.1947,                0.53767,                 1.2652,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.0872,                0.49874,                 1.2437,                0.90113,                0.87151,                 0.9319,                0.64139,                 1.2101,                0.54887,                 1.2804,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.0661,                0.47912,                 1.2316,                0.87001,                0.90509,                0.93572,                0.64678,                 1.2102,                0.54354,                 1.2779,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.0492,                0.46559,                 1.2194,                0.88056,                0.89968,                0.93575,                0.64599,                 1.2016,                0.54286,                 1.2772,             0.00034674,             0.00034674,             0.00034674
                     23,                  1.031,                0.45557,                 1.2054,                0.89061,                0.88098,                0.93709,                0.64853,                 1.2053,                0.54569,                 1.2816,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.0223,                0.44203,                 1.2012,                0.89568,                0.87525,                0.93228,                0.64997,                 1.2002,                0.54044,                 1.2704,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.0003,                0.42931,                 1.1896,                0.90048,                 0.8797,                0.92975,                0.64719,                 1.2049,                0.53556,                 1.2813,              0.0001487,              0.0001487,              0.0001487
